target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok,tier
egernia-local,egernia,Q01,csv,32,1,20782,0.0,345.978,0.090286,0.120917,0.115914,1835.0,0.145,True,16
egernia-local,egernia,Q01,csv,32,2,20667,0.0,344.037,0.090812,0.119827,0.114114,1835.0,0.152,True,16
egernia-local,egernia,Q01,csv,32,3,20771,0.0,345.696,0.090593,0.121322,0.115933,1835.0,0.145,True,16
egernia-local,egernia,Q01,csv,64,1,19684,0.0,327.17,0.191904,0.243237,0.238089,1835.0,0.145,True,16
egernia-local,egernia,Q01,csv,64,2,19706,0.0,327.761,0.191233,0.243343,0.237732,1835.0,0.145,True,16
egernia-local,egernia,Q01,csv,64,3,19536,0.0,324.698,0.193613,0.279093,0.273288,1835.0,0.155,True,16
egernia-local,egernia,Q01,csv,8,1,22969,0.0,382.687,0.020179,0.027987,0.026532,1835.0,0.205,True,16
egernia-local,egernia,Q01,csv,8,2,23075,0.0,384.507,0.019306,0.032728,0.03118,1835.0,0.255,True,16
egernia-local,egernia,Q01,csv,8,3,23140,0.0,385.581,0.020034,0.027794,0.0263,1835.0,0.195,True,16
egernia-local,egernia,Q02,csv,32,1,16749,0.0,278.783,0.112875,0.156246,0.151001,38403.1,0.145,True,16
egernia-local,egernia,Q02,csv,32,2,16825,0.0,280.063,0.11196,0.148543,0.143132,38409.4,0.145,True,16
egernia-local,egernia,Q02,csv,32,3,16753,0.0,278.732,0.110906,0.1741,0.168536,38409.5,0.165,True,16
egernia-local,egernia,Q02,csv,64,1,15919,0.0,264.565,0.237582,0.292175,0.285563,38403.8,0.125,True,16
egernia-local,egernia,Q02,csv,64,2,15944,0.0,264.792,0.244029,0.325526,0.320648,38407.6,0.14,True,16
egernia-local,egernia,Q02,csv,64,3,15935,0.0,264.781,0.239306,0.307516,0.301782,38410.2,0.12,True,16
