target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
argus-final,argus,Q03,votable,1,2,2423,0.0,40.339,0.015035,0.079687,0.077071,36403.2,0.155,True
argus-final,argus,Q03,votable,1,3,2537,0.0,42.244,0.014439,0.079981,0.077284,36849.9,0.155,True
argus-final,argus,Q03,votable,32,1,15091,0.0,250.854,0.11227,0.235691,0.226948,36928.8,0.21,True
argus-final,argus,Q03,votable,32,2,14954,0.0,248.401,0.11464,0.236652,0.228526,36794.4,0.195,True
argus-final,argus,Q03,votable,32,3,14906,0.0,248.02,0.114409,0.239389,0.231137,36768.0,0.21,True
argus-final,argus,Q03,votable,4,1,8122,0.0,135.178,0.01925,0.093647,0.09026,36773.8,0.165,True
argus-final,argus,Q03,votable,4,2,7753,0.0,129.106,0.01927,0.093635,0.090117,36713.0,0.165,True
argus-final,argus,Q03,votable,4,3,8104,0.0,134.874,0.019351,0.093174,0.089746,36794.3,0.155,True
argus-final,argus,Q03,votable,8,1,12385,0.0,206.18,0.027115,0.114328,0.10917,36857.0,0.21,True
argus-final,argus,Q03,votable,8,2,12184,0.0,202.797,0.027148,0.114772,0.108772,36800.6,0.22,True
argus-final,argus,Q03,votable,8,3,12120,0.0,201.725,0.027332,0.114622,0.109126,36743.5,0.215,True
argus-final,argus,Q04,votable,1,1,3204,0.0,53.388,0.018535,0.021178,0.016281,82208.3,0.215,True
argus-final,argus,Q04,votable,1,2,3211,0.0,53.505,0.018264,0.020894,0.016145,82210.5,0.215,True
argus-final,argus,Q04,votable,1,3,3128,0.0,52.122,0.019172,0.021693,0.016737,82192.5,0.225,True
argus-final,argus,Q04,votable,32,1,14648,0.0,243.766,0.111456,0.130853,0.113393,82195.5,0.27,True
argus-final,argus,Q04,votable,32,2,17041,0.0,283.55,0.112258,0.130577,0.114339,82200.4,0.275,True
argus-final,argus,Q04,votable,32,3,16978,0.0,282.55,0.112783,0.130644,0.114912,82193.7,0.275,True
argus-final,argus,Q04,votable,4,1,9360,0.0,155.933,0.025297,0.030448,0.023476,82198.3,0.195,True
argus-final,argus,Q04,votable,4,2,8212,0.0,136.808,0.028683,0.037082,0.028271,82202.6,0.18,True
argus-final,argus,Q04,votable,4,3,8710,0.0,145.115,0.027009,0.034564,0.026535,82191.2,0.195,True
argus-final,argus,Q04,votable,8,1,13564,0.0,225.951,0.034929,0.044061,0.033689,82193.8,0.285,True
argus-final,argus,Q04,votable,8,2,13372,0.0,222.78,0.035373,0.045015,0.034541,82201.5,0.255,True
argus-final,argus,Q04,votable,8,3,12837,0.0,213.846,0.03547,0.045595,0.035135,82198.9,0.28,True
argus-final,argus,Q05,votable,1,1,147,0.0,2.435,0.410698,0.414332,0.411435,7612.9,0.015,True
argus-final,argus,Q05,votable,1,2,146,0.0,2.43,0.41117,0.417197,0.414694,8020.8,0.015,True
argus-final,argus,Q05,votable,1,3,147,0.0,2.438,0.409856,0.414757,0.411989,8444.1,0.015,True
argus-final,argus,Q05,votable,32,1,920,0.0,14.842,2.157542,2.240207,2.234851,8093.6,0.025,True
argus-final,argus,Q05,votable,32,2,917,0.0,14.781,2.160907,2.253055,2.246376,8005.0,0.025,True
argus-final,argus,Q05,votable,32,3,914,0.0,14.736,2.16668,2.255245,2.248098,8172.3,0.025,True
argus-final,argus,Q05,votable,4,1,566,0.0,9.403,0.408489,0.53944,0.536761,7741.6,0.015,True
argus-final,argus,Q05,votable,4,2,556,0.0,9.222,0.409441,0.543659,0.540505,8006.6,0.015,True
argus-final,argus,Q05,votable,4,3,508,0.0,8.417,0.505957,0.546369,0.543355,8253.2,0.015,True
argus-final,argus,Q05,votable,8,1,896,0.0,14.82,0.540511,0.571464,0.567235,8126.5,0.02,True
argus-final,argus,Q05,votable,8,2,883,0.0,14.612,0.544782,0.577573,0.574047,8137.0,0.02,True
argus-final,argus,Q05,votable,8,3,881,0.0,14.594,0.545441,0.581398,0.57646,8155.9,0.02,True
argus-final,argus,Q06,votable,1,1,146,0.0,2.431,0.413652,0.419205,0.413079,96861.2,0.015,True
argus-final,argus,Q06,votable,1,2,149,0.0,2.481,0.413564,0.419156,0.412994,97634.2,0.02,True
argus-final,argus,Q06,votable,1,3,147,0.0,2.445,0.413156,0.418503,0.412637,89165.7,0.015,True
argus-final,argus,Q06,votable,32,1,914,0.0,14.723,2.173689,2.292132,2.284652,99524.6,0.03,True
argus-final,argus,Q06,votable,32,2,915,0.0,14.716,2.166304,2.289008,2.279233,96795.7,0.025,True
argus-final,argus,Q06,votable,32,3,910,0.0,14.658,2.17351,2.283919,2.27365,93648.0,0.03,True
argus-final,argus,Q06,votable,4,1,570,0.0,9.441,0.411867,0.541563,0.535277,98273.1,0.02,True
argus-final,argus,Q06,votable,4,2,529,0.0,8.764,0.414617,0.547952,0.541487,99490.0,0.02,True
argus-final,argus,Q06,votable,4,3,521,0.0,8.65,0.413582,0.551055,0.54409,93920.1,0.03,True
argus-final,argus,Q06,votable,8,1,879,0.0,14.522,0.553533,0.591939,0.584197,98548.9,0.025,True
argus-final,argus,Q06,votable,8,2,880,0.0,14.543,0.554451,0.598271,0.589341,98415.7,0.025,True
argus-final,argus,Q06,votable,8,3,883,0.0,14.589,0.555451,0.584154,0.576162,96224.3,0.025,True
argus-final,argus,Q07,votable,1,1,211,0.0,3.516,0.32822,0.4112,0.407477,28257.7,0.02,True
argus-final,argus,Q07,votable,1,2,205,0.0,3.405,0.33656,0.412139,0.408412,29470.3,0.02,True
argus-final,argus,Q07,votable,1,3,205,0.0,3.41,0.338496,0.408666,0.404976,28905.9,0.02,True
argus-final,argus,Q07,votable,32,1,1310,0.0,21.326,1.51687,1.742454,1.735733,29676.7,0.03,True
argus-final,argus,Q07,votable,32,2,1311,0.0,21.348,1.511235,1.738056,1.73171,29577.8,0.03,True
argus-final,argus,Q07,votable,32,3,1303,0.0,21.211,1.519214,1.739993,1.731468,29163.6,0.03,True
argus-final,argus,Q07,votable,4,1,740,0.0,12.251,0.350943,0.487165,0.483888,29221.5,0.02,True
argus-final,argus,Q07,votable,4,2,734,0.0,12.181,0.356442,0.481558,0.476549,29669.4,0.02,True
argus-final,argus,Q07,votable,4,3,744,0.0,12.335,0.345911,0.495638,0.491872,28210.7,0.02,True
argus-final,argus,Q07,votable,8,1,1247,0.0,20.677,0.433494,0.544447,0.538161,29911.5,0.03,True
argus-final,argus,Q07,votable,8,2,1247,0.0,20.671,0.431234,0.550963,0.545036,29580.8,0.025,True
argus-final,argus,Q07,votable,8,3,1251,0.0,20.748,0.433488,0.553512,0.54651,29336.5,0.03,True
argus-final,argus,Q10,votable,1,1,1833,0.0,30.536,0.032521,0.035896,0.019143,396845.1,0.275,True
argus-final,argus,Q10,votable,1,2,1934,0.0,32.223,0.030779,0.034121,0.017441,396898.1,0.34,True
argus-final,argus,Q10,votable,1,3,1802,0.0,30.025,0.030511,0.033656,0.017173,397008.1,0.29,True
argus-final,argus,Q10,votable,32,1,8217,0.0,136.579,0.209846,0.240785,0.194372,396937.5,0.33,True
argus-final,argus,Q10,votable,32,2,9150,0.0,152.031,0.209659,0.236463,0.192824,396902.4,0.33,True
argus-final,argus,Q10,votable,32,3,9141,0.0,151.853,0.209861,0.239128,0.193643,397010.6,0.34,True
argus-final,argus,Q10,votable,4,1,5311,0.0,88.472,0.041395,0.050028,0.026141,396943.5,0.285,True
argus-final,argus,Q10,votable,4,2,5094,0.0,84.86,0.041479,0.050614,0.026589,396874.5,0.285,True
argus-final,argus,Q10,votable,4,3,5724,0.0,95.344,0.041521,0.050446,0.02609,397021.9,0.28,True
argus-final,argus,Q10,votable,8,1,7977,0.0,132.854,0.056825,0.071778,0.036943,396924.7,0.415,True
argus-final,argus,Q10,votable,8,2,7565,0.0,126.005,0.056907,0.07245,0.037359,396842.1,0.41,True
argus-final,argus,Q10,votable,8,3,7367,0.0,122.694,0.056817,0.071468,0.036941,396991.9,0.405,True
argus-final,argus,Q11,votable,1,1,292,0.0,4.861,0.204073,0.21574,0.017264,3958600.7,0.335,True
argus-final,argus,Q11,votable,1,2,291,0.0,4.84,0.204376,0.219813,0.017124,3956455.4,0.32,True
argus-final,argus,Q11,votable,1,3,291,0.0,4.84,0.204558,0.218977,0.01729,3959264.9,0.31,True
argus-final,argus,Q11,votable,32,1,1371,0.0,22.386,1.428187,1.518882,1.153154,3958667.2,0.47,True
argus-final,argus,Q11,votable,32,2,1372,0.0,22.45,1.4244,1.522263,1.162572,3958070.9,0.41,True
