target,tier,query_class,response_format,concurrency,repetition,requests,rps,window_seconds,coverage,cpu_seconds,cpu_cores,cpu_seconds_per_request,mem_mean_bytes,mem_peak_bytes,api_workers
egernia-local-equalcpu,,Q12,csv,1,3,13028,108.567,120.000072,0.942956,114.734977,0.956124,0.008807,3320761477.565217,3331792896,8
egernia-local-equalcpu,,Q12,csv,16,1,61254,510.362,120.021254,0.9438,718.44819,5.986008,0.011729,3214535101.217391,3219984384,8
egernia-local-equalcpu,,Q12,csv,16,2,57240,476.887,120.028628,0.987883,666.756862,5.554982,0.011648,3223456597.333333,3225620480,8
egernia-local-equalcpu,,Q12,csv,16,3,61328,510.972,120.022174,0.98809,720.974723,6.007013,0.011756,3218991616.0,3219869696,8
egernia-local-equalcpu,,Q12,csv,32,1,60272,502.059,120.049598,0.948455,763.111241,6.356633,0.012661,3271523995.826087,3272749056,8
egernia-local-equalcpu,,Q12,csv,32,2,63784,531.392,120.046639,0.951054,810.330025,6.750127,0.012704,3308098604.521739,3309473792,8
egernia-local-equalcpu,,Q12,csv,32,3,63300,527.296,120.047158,0.95205,807.213206,6.724134,0.012752,3326790433.391304,3337707520,8
egernia-local-equalcpu,,Q12,csv,4,1,38092,317.404,120.018568,0.942178,370.599606,3.087852,0.009729,3285461793.391304,3295125504,8
egernia-local-equalcpu,,Q12,csv,4,2,35264,293.84,120.013358,0.942683,344.053329,2.866792,0.009757,3285535877.565217,3292884992,8
egernia-local-equalcpu,,Q12,csv,4,3,35617,296.779,120.018377,0.941101,345.645086,2.879935,0.009704,3244665811.478261,3246870528,8
egernia-local-equalcpu,,Q12,csv,8,1,47003,391.652,120.029823,0.942548,501.768309,4.180364,0.010675,3252932964.173913,3253592064,8
egernia-local-equalcpu,,Q12,csv,8,2,43503,362.467,120.022797,0.941776,465.507888,3.878496,0.010701,3229147492.173913,3230076928,8
egernia-local-equalcpu,,Q12,csv,8,3,38109,317.538,120.023921,0.984791,412.108976,3.433557,0.010814,3228247381.333333,3242811392,8
egernia-local-equalcpu,,Q13,csv,1,1,503,4.182,120.267335,0.987515,342.30778,2.846224,0.680532,3348563968.0,3355533312,8
egernia-local-equalcpu,,Q13,csv,1,2,506,4.209,120.205185,0.986094,341.782208,2.843323,0.675459,3348810410.666667,3353915392,8
egernia-local-equalcpu,,Q13,csv,1,3,511,4.25,120.234009,0.983557,341.968487,2.844191,0.669214,3310541653.333333,3313668096,8
egernia-local-equalcpu,,Q13,csv,16,1,1163,9.611,121.08041,0.939695,967.911606,7.993957,0.832254,3439129110.26087,3465355264,8
egernia-local-equalcpu,,Q13,csv,16,2,1181,9.783,120.809688,0.942439,965.832598,7.994662,0.817809,3451238489.043478,3465433088,8
egernia-local-equalcpu,,Q13,csv,16,3,1187,9.821,120.895365,0.941589,966.635601,7.995638,0.814352,3459390063.304348,3485085696,8
egernia-local-equalcpu,,Q13,csv,32,1,1177,9.635,122.77615,0.978873,981.806968,7.996724,0.834161,3607701504.0,3657814016,8
egernia-local-equalcpu,,Q13,csv,32,2,1177,9.651,121.974333,0.946036,975.38771,7.996664,0.828707,3705723681.391304,3728523264,8
egernia-local-equalcpu,,Q13,csv,32,3,1183,9.692,122.105565,0.945592,976.417533,7.996503,0.825374,3738569327.304348,3755675648,8
egernia-local-equalcpu,,Q13,csv,4,1,1147,9.536,120.282871,0.943875,932.868693,7.755624,0.813312,3338253890.782609,3350388736,8
egernia-local-equalcpu,,Q13,csv,4,2,1154,9.591,120.554826,0.938591,942.228484,7.815767,0.816489,3330932914.086957,3341766656,8
egernia-local-equalcpu,,Q13,csv,4,3,1163,9.662,120.41328,0.939851,938.247138,7.791891,0.806747,3334202056.347826,3348664320,8
egernia-local-equalcpu,,Q13,csv,8,1,1173,9.726,120.779013,0.980591,964.705317,7.987359,0.822426,3362260138.666667,3381960704,8
egernia-local-equalcpu,,Q13,csv,8,2,1171,9.707,120.78853,0.981117,964.384106,7.98407,0.823556,3367442261.333333,3389124608,8
egernia-local-equalcpu,,Q13,csv,8,3,1171,9.711,120.592442,0.93817,963.130219,7.986655,0.822485,3334168041.73913,3347435520,8
egernia-local-equalcpu,,mix,csv,1,1,6977,58.124,120.036811,0.943794,126.511188,1.053937,0.018133,3288251703.652174,3306766336,8
egernia-local-equalcpu,,mix,csv,1,2,6902,57.516,120.001134,0.943079,125.740688,1.047829,0.018218,3310791991.652174,3312967680,8
egernia-local-equalcpu,,mix,csv,1,3,6975,58.115,120.021317,0.983799,125.621429,1.046659,0.01801,3286571349.333333,3332173824,8
egernia-local-equalcpu,,mix,csv,16,1,35546,295.951,120.181835,0.941346,834.173615,6.940929,0.023467,3245672715.130435,3259174912,8
egernia-local-equalcpu,,mix,csv,16,2,31978,266.195,120.15953,0.941791,735.187151,6.118426,0.02299,3253024144.695652,3270692864,8
egernia-local-equalcpu,,mix,csv,16,3,35965,299.608,120.106941,0.942849,852.083121,7.09437,0.023692,3286895393.391304,3302727680,8
egernia-local-equalcpu,,mix,csv,32,1,37297,310.508,120.141731,0.988046,929.475174,7.736489,0.024921,3324869461.333333,3341873152,8
egernia-local-equalcpu,,mix,csv,32,2,37028,308.316,120.419818,0.945898,931.726644,7.73732,0.025163,3456576289.391304,3471908864,8
egernia-local-equalcpu,,mix,csv,32,3,37376,311.034,120.236105,0.990856,945.633297,7.864803,0.025301,3482836480.0,3496972288,8
