target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok,tier
egernia-scaling3,egernia,Q13,csv,32,2,2064,0.0,33.965,0.93658,1.205125,1.20459,2264.4,0.025,True,16
egernia-scaling3,egernia,Q13,csv,32,3,2067,0.0,34.016,0.92811,1.338031,1.337432,2264.1,0.03,True,16
egernia-scaling3,egernia,Q13,csv,8,1,2016,0.0,33.505,0.238488,0.309769,0.309363,2264.0,0.03,True,16
egernia-scaling3,egernia,Q13,csv,8,2,2015,0.0,33.519,0.237834,0.311174,0.310482,2264.6,0.03,True,16
egernia-scaling3,egernia,Q13,csv,8,3,2010,0.0,33.411,0.237931,0.315977,0.315002,2264.6,0.03,True,16
egernia-scaling3,egernia,mix,csv,32,1,19464,0.0,324.048,0.097095,0.126871,0.119139,42667.7,0.135,True,16
egernia-scaling3,egernia,mix,csv,32,2,19506,0.0,324.654,0.096864,0.125736,0.118792,42476.7,0.145,True,16
egernia-scaling3,egernia,mix,csv,32,3,19388,0.0,322.7,0.097223,0.125222,0.117292,43078.8,0.145,True,16
egernia-scaling3,egernia,mix,csv,8,1,21337,0.0,355.475,0.021501,0.035076,0.032874,42354.7,0.19,True,16
egernia-scaling3,egernia,mix,csv,8,2,21140,0.0,352.234,0.021743,0.03569,0.033217,42649.5,0.185,True,16
egernia-scaling3,egernia,mix,csv,8,3,21392,0.0,356.439,0.02186,0.030467,0.028278,43228.3,0.19,True,16
egernia-scaling3,egernia,Q01,votable,32,1,22419,0.0,373.238,0.084338,0.10813,0.103681,2682.0,0.15,True,16
egernia-scaling3,egernia,Q01,votable,32,2,22523,0.0,374.997,0.083861,0.107725,0.103478,2682.0,0.155,True,16
egernia-scaling3,egernia,Q01,votable,32,3,22634,0.0,376.887,0.083379,0.11764,0.113505,2682.0,0.15,True,16
egernia-scaling3,egernia,Q01,votable,8,1,25077,0.0,417.862,0.018872,0.02423,0.022994,2682.0,0.2,True,16
egernia-scaling3,egernia,Q01,votable,8,2,25223,0.0,420.256,0.017241,0.0293,0.027912,2682.0,0.2,True,16
egernia-scaling3,egernia,Q01,votable,8,3,24823,0.0,413.62,0.017359,0.030298,0.028782,2682.0,0.2,True,16
egernia-scaling3,egernia,Q05,votable,32,1,21119,0.0,351.621,0.089384,0.111656,0.107001,6915.7,0.13,True,16
egernia-scaling3,egernia,Q05,votable,32,2,21203,0.0,353.016,0.089211,0.11111,0.106871,6929.1,0.14,True,16
egernia-scaling3,egernia,Q05,votable,32,3,21162,0.0,352.368,0.089127,0.125558,0.121118,6891.0,0.15,True,16
egernia-scaling3,egernia,Q05,votable,8,1,23580,0.0,392.917,0.020074,0.025885,0.024625,6948.9,0.18,True,16
egernia-scaling3,egernia,Q05,votable,8,2,23428,0.0,390.393,0.018893,0.0313,0.029868,6921.7,0.235,True,16
egernia-scaling3,egernia,Q05,votable,8,3,23000,0.0,383.176,0.019956,0.037881,0.036135,6973.7,0.22,True,16
egernia-scaling3,egernia,Q11,votable,32,1,2165,0.0,35.837,0.868079,1.168019,0.929799,3957406.3,0.13,True,16
egernia-scaling3,egernia,Q11,votable,32,2,2186,0.0,36.143,0.875225,1.185696,0.877318,3956519.2,0.135,True,16
egernia-scaling3,egernia,Q11,votable,32,3,2205,0.0,36.391,0.869573,1.233525,0.818801,3957071.8,0.15,True,16
egernia-scaling3,egernia,Q11,votable,8,1,1983,0.0,33.003,0.269732,0.407181,0.295555,3957440.0,0.195,True,16
egernia-scaling3,egernia,Q11,votable,8,2,1960,0.0,32.399,0.236141,0.387872,0.306775,3956047.1,0.16,True,16
egernia-scaling3,egernia,Q11,votable,8,3,1931,0.0,32.11,0.243641,0.404174,0.324243,3957353.6,0.155,True,16
egernia-scaling3,egernia,Q13,votable,32,1,2055,0.0,33.832,0.929409,1.344799,1.344229,4628.2,0.025,True,16
egernia-scaling3,egernia,Q13,votable,32,2,2048,0.0,33.698,0.938992,1.349158,1.348568,4628.3,0.03,True,16
egernia-scaling3,egernia,Q13,votable,32,3,2055,0.0,33.841,0.940939,1.209409,1.208816,4628.3,0.03,True,16
egernia-scaling3,egernia,Q13,votable,8,1,2004,0.0,33.284,0.238485,0.314609,0.313987,4628.0,0.025,True,16
